Name,Followers,Rating,Industry,Domain,rev
Dylan Israel,50,5.0,JavaScript,"['javascript', 'typescript', 'angular']","['::\nDylan is an excellent mentor. He has made my path clearer then ever. It is obvious he understands what is necessary to help you stand out and get noticed.\n', '::\nFantastic mentor. He helped me so much to grow from a total beginner to now work as a frontend developer.\n', ""::\nThe mentorship I've received from Dylan has been incredibly helpful. Last year I was his mentee and he helped me land my first Software Engineer job. A year later, I needed direction of how to progress in my career as I was beginning to feel stagnate and a bit burnt out. The honest advice and feedback helped me develop better clarity of what I want for my career, finances, and life. After just one month of following his advice, I landed an initial interview with Google, and I am finding more fulfillment in my side projects. I feel re-energized to keep developing my skills due to my new, exciting career goals which he helped me define.\n""]"
Abhishek Jakhar,20,5.0,JavaScript,"['javascript', 'react', 'css']","['::\nAbhishek is a great mentor =) you are lucky to have him as your mentor ! =)\n', ""::\nIt's been 4 months of mentorship with Abhishek. He was exceptional with his quality of teaching, helping and also in his way of tackling complex subjects on Javascript and React.\nHe is an outstanding mentor\n"", '::\nI have been learning from Abhishek for 3 months. He has been great, helpful. Helping me a lot continuously. He is so knowledgable and you are lucky to have him as a mentor =)\nHighly recommend.\n']"
Mladen Ruzicic,13,5.0,JavaScript,"['frontend', 'javascript', 'typescript']","[""::\nHaving Mladen as a mentor gave me the last push I needed in my career switch journey.\nHe helped me achieve my goals even earlier than expected, and I'm super thrilled with the company I started at this month.\nI just couldn't ask for more. Thank you!\n"", '::\n2+ month review: If you want a clear guide to what you need to do to become a successful developer, Mladen is the person to go to. Mladen is a great accountability partner that will show you where you are in development through a series of tests, exercises, and projects. Mladen will also provide the needed resources to help you get where you need to be. Not a lot of hand holding, so you will need to be dedicated to improving and getting better if you want to see results, which is what I appreciate most about working with him.\nIf you are looking for a real world example of how to become better and what real world development looks like, choose Mladen!\n', ""::\nI was a bit lost in my self-learning process, so this was the perfect moment to start getting experienced professional feedback and inputs on my journey.\nMladen is very knowledgeable, communicative, involved and flexible. He's not only helping me get to the next level with my front-end and interview skills, but he also provides me of valuable career advice.\nI'm confident we will be able to reach the goals we've set!\n""]"
Torrey Payne,10,5.0,JavaScript,"['golang', 'javascript', 'systemarchitecture']","['::\nTorrey is a great mentor very down to earth and will help you reach your goals in a timely manner. Helps you with everything from interviewing and job search strategies. Would recommend him to anyone entry level needing guidance on breaking into that first role. Great mentorship program 10/10 experience.\n', '::\nTorrey is a great mentor, who will help you plan out your goals. Set benchmarks, and how to complete those goals in a timely manner. I have enjoyed the mentorship program and the few months I have been in the mentorship program has elevated me to new heights and abilities in terms of preparing for technical interview and job search strategies. Would recommend him to anyone needing help through the job search and interview process.\n', '::\nTorrey is a great mentor and will help you reach your goals!\n']"
Ayesha Malik,9,5.0,JavaScript,"['javascript', 'typescript', 'graphql']","[""::\nAyesha goes above and beyond to make sure you fully understand concepts. She's responsive to any questions and clear when explaining.\nI wish I had started working with her earlier.\n"", ""::\nYou won't regret having Ayesha as a Mentor.\n"", '::\nAyesha is a great mentor and very knowledgeable!\n']"
Davide Pollicino,4,5.0,JavaScript,"['faang', 'projectmanagement', 'careergrowth']","['::\nDavide is a really good and proactive mentor. Within the first week itself, he provided a really good learning path for me to start with based on my requirement. I am looking forward to his guidance.\n', '::\nDavide is a brilliant and supportive mentor! He replies quickly in chat if you need help or have some questions. His responses are very well-structured and informative. Davide is professional whom I definitely recommend as a mentor :)\n', ""::\nDavide is a phenomenal mentor. He went out of his way to help me in a moment I was really needing support. The only reason I'm ending the mentorship is because I need someone who lives in my timezone. Highly recommended!\n""]"
 Erik Hanchett,23,5.0,JavaScript,"['javascript', 'vue.js', 'angular']","['::\nHi Erik was a great mentor over the last 2 months and help me loads amplify, AWS Cognito and Angular\n', '::\nErik is awesome. He responds quickly to questions and provides valuable feedback and ideas. Highly recommended.\n', '::\nErik has broad knowledge and experience which is helpful in my learning journey.\n']"
James Booth,16,5.0,JavaScript,"['leadership', 'softwarearchitecture', 'aws']","[""::\nJames has been an amazing mentor. He really helped me fill in the blanks from what I wasn't learning from my bootcamp. I'be been able to focus on unit testing, continuing to become proficient in my coding skills, and even planning things out for projects, studying, etc.. He is highly recommended. You get out of it what you put into it!\n"", '::\nJames is amazing! I have been exposed to various industry best practices because of this program and I am overall very satisfied with the outcome.\n', '::\nIt was great experience having James as my mentor\n']"
Dan Page,9,5.0,JavaScript,"['javascript', 'react', 'typescript']","['::\nDan is a lovely guy and full of JS and React knowledge!\n', ""::\nDan's a great mentor who really knows his stuff and I can't recommend him enough.\nI first sought out his help a few months ago with the goal of getting a better paid mid-level role at a different company, as I felt I wasn't learning much in my current job and really wanted to level up my skills.\nThanks to Dan, I've been able to finish a side project that had been a year in the making, focussing on the main marketable technical skills to really get on in the industry.\nHe's incredibly down to earth and I really appreciate his no-bullshit approach, which has helped me see past plenty of misconceptions I had about the industry and what it means to be a 'good' dev. The career advice I've received has been invaluable and has helped me realise my worth and true potential as a developer.\nWithout his help, I would not have had the confidence to apply to a £60k job I have recently been offered, as I thought it was completely out of the realm of possibility. I am now looking forward to reaping the benefits of my £25k pay rise at a company I'm genuinely excited to work for.\n"", '::\nI am so grateful to have Dan as a mentor! Your growth is really important to him, and he pushes you to do things outside your comfort zone. Whenever you have questions about something, he is always available to answer them and really takes the time to explain things. I have used a few mentors in the past, but Dan is by far the best. Having a genuine concern for his students and striving to help them succeed makes him a great teacher\n']"
Paul Kim,6,5.0,JavaScript,"['softwareengineering', 'careerdevelopment', 'management']","['::\nGreat session. Explained clearly what I need to do and what I can expect from further sessions.\n', '::\nPaul gave me great feedback on ways to improve my responses in interviews and tips how to really catch the attention of a hiring manager vs things that are automatic no.\n', '::\nPaul provided several constructive feedbacks for my CV. He also answered a few questions outside the areas of the booked session and provided me with a lot of actionable advises. Would high recommend!\n']"
